T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
70,70,0,1.0411439184955442,3.0158359599675055,4.9410965250883745,2.0254023112972606,3.9993170685216226,1.4022869882855897,3.3828593399519775,4.280328700038326,,,,,,,,0.023805566279633792,0.02394609791067303,0.03456117414186045,,
80,70,0,0.9941582323751248,3.018337203076226,4.947232033058452,2.0552460524897267,4.024498996865122,1.402588055230211,3.40014259571623,3.9189538234393977,,,,,,,,0.022174758345642497,0.02215016188988894,0.03103782916774221,,
90,70,0,0.9912509999151173,3.043226465861617,4.99342012681115,2.0401622485671425,3.9900618936987735,1.3699811882437072,3.4256431456324385,5.215958084430634,,,,,,,,0.020894615653059525,0.02076524919241639,0.037082628722028235,,
100,70,0,1.0034755363637509,3.0281021614679005,4.963074811790195,1.9932741113974788,4.031125325697288,1.397612505240036,3.447183500308004,3.9739076496767796,,,,,,,,0.019440844136950523,0.019630333397903276,0.02788189618944103,,
10,80,0,1.1564335980555434,3.0896514246217013,4.555196548077424,2.020439006059831,3.7943468982870625,1.4859147107640458,3.390235917071909,-0.6066621407944853,,,,,,,,0.05948430259292653,0.059545353492861657,0.07327351400383547,,
20,80,0,1.0493558623905206,2.962369400618673,4.871207701354896,1.9791246139338408,3.987428192449471,1.4191997863478514,3.32393046119756,4.252574365636306,,,,,,,,0.04273594811484184,0.04226555845853249,0.0664583134475122,,
30,80,0,1.1404090442775001,3.115241122821543,4.46871914466263,2.0551681784711393,4.049632049047561,1.3990370393017995,3.415162189952829,3.862164003181848,,,,,,,,0.0329571830331364,0.033037120034609395,0.04985458214775081,,
40,80,0,1.0493451534850626,3.0291051026486264,4.938574823033573,2.018591269510277,3.933741809777038,1.417784165494759,3.3702716174661758,4.773069127379777,,,,,,,,0.02930960667530238,0.029368945169839053,0.04614537813240873,,
50,80,0,1.0428446870679378,3.0565481907193037,4.7997348763505405,2.022080638917849,4.028296656911736,1.3625582391621762,3.371875771588364,3.8378405516777603,,,,,,,,0.02703599688158951,0.027208093227705957,0.03902146856365885,,
60,80,0,0.9786694633653199,2.9466109516172145,5.0476229630246285,1.9501679330659631,4.038676303767493,1.3960029293858087,3.3547384158363247,5.254493918399424,,,,,,,,0.02465707946315872,0.02406872462615744,0.036287678431308534,,
70,80,0,1.0393145625211813,3.0115712269241874,5.001583529667911,2.000730310896497,4.0072042687206855,1.4039647747588577,3.383666030073802,4.495603088352217,,,,,,,,0.021432966082229936,0.02203637218925515,0.03140734322805344,,
80,80,0,1.0573875863819304,3.069051269901194,4.841452950326341,2.0404149625852854,4.015253409307168,1.3944258924086756,3.3870147229661542,4.491821702467106,,,,,,,,0.020277947738547724,0.020347584946667708,0.033363809300161286,,
90,80,0,0.9805357319361474,2.993718422352482,5.028780823500352,1.980554373455147,3.9800875468923795,1.3887002129481867,3.4152605503545113,3.134185378640437,,,,,,,,0.019247916534945488,0.01961058587644631,0.026755606963386334,,
100,80,0,0.9754319493124131,2.968257993849106,5.061507276841263,2.0101857278926167,4.027015969508785,1.3712454964292549,3.361181927659687,4.090841815188143,,,,,,,,0.01898871598746271,0.01901702773593546,0.028892657657310708,,
10,90,0,1.0599781750747348,3.0308189118532525,4.913690190323692,1.9579606807419507,4.063806553577704,1.348788587404274,3.3593716453994773,5.437893608850475,,,,,,,,0.05785736133559468,0.0593827406875593,0.09696878849066015,,
20,90,0,1.0474715534344248,3.0423693482154595,4.793613836301883,2.0951021135256984,4.030079260635828,1.4215851277649303,3.378649657107993,3.9120409268536704,,,,,,,,0.04001597673278311,0.03922176828002693,0.05536685658946962,,
